eye_used,file,image,inst,nGap,nSacc,n_blink,outlier,response,rt,trialId
undefined,16.asc,F005.png,free,0,34,9,0,timeout,15005,69
undefined,16.asc,F025.png,free,0,33,5,0,timeout,15004,70
undefined,16.asc,F016.png,free,0,30,4,0,timeout,15004,71
undefined,16.asc,F001.png,free,0,35,7,0,timeout,15004,72
undefined,16.asc,F047.png,free,0,31,4,0,timeout,15005,73
undefined,16.asc,S031.png,free,0,34,4,0,timeout,15004,74
undefined,16.asc,F003.png,free,0,36,6,0,timeout,15004,75
undefined,16.asc,F011.png,free,0,37,8,0,timeout,15005,76
undefined,16.asc,S008.png,free,0,35,7,0,timeout,15005,77
undefined,16.asc,F017.png,free,0,33,3,0,timeout,15005,78
undefined,16.asc,F002.png,free,0,40,3,0,timeout,15004,79
undefined,16.asc,S005.png,free,0,37,3,0,timeout,15005,80
undefined,16.asc,S046.png,free,0,35,4,0,timeout,15004,81
undefined,16.asc,S006.png,free,0,35,1,0,timeout,15004,82
undefined,16.asc,S034.png,free,0,26,3,0,timeout,15004,83
undefined,16.asc,S042.png,free,0,31,2,0,timeout,15004,84
undefined,16.asc,F049.png,free,0,36,5,0,timeout,15004,85
undefined,16.asc,S030.png,free,0,35,4,0,timeout,15004,86
undefined,16.asc,F027.png,free,0,36,3,0,timeout,15005,87
undefined,16.asc,F022.png,free,0,36,8,0,timeout,15004,88
undefined,16.asc,F039.png,free,0,35,6,0,timeout,15004,89
undefined,16.asc,S004.png,free,0,35,9,0,timeout,15004,90
undefined,16.asc,S048.png,free,0,42,2,0,timeout,15004,91
undefined,16.asc,F046.png,free,0,32,2,0,timeout,15004,92
undefined,16.asc,S000.png,free,0,33,6,0,timeout,15005,93
undefined,16.asc,S017.png,free,0,36,5,0,timeout,15004,94
undefined,16.asc,S032.png,free,0,40,2,0,timeout,15004,95
undefined,16.asc,S011.png,free,0,34,3,0,timeout,15004,96
undefined,16.asc,F043.png,free,0,37,6,0,timeout,15004,97
undefined,16.asc,F008.png,free,0,33,5,0,timeout,15004,98
undefined,16.asc,F029.png,free,0,35,5,0,timeout,15004,99
undefined,16.asc,S016.png,free,0,32,3,0,timeout,15003,100
undefined,16.asc,F006.png,free,0,33,3,0,timeout,15004,101
undefined,02.asc,P002.png,memory,0,41,4,0,timeout,15005,0
undefined,02.asc,P001.png,memory,0,43,3,0,timeout,15004,1
undefined,02.asc,S002.png,memory,0,42,6,0,timeout,15004,2
undefined,02.asc,S013.png,memory,0,33,1,0,timeout,15003,3
undefined,02.asc,S009.png,memory,0,42,3,0,timeout,15005,4
undefined,02.asc,F042.png,memory,0,31,4,0,timeout,15006,5
undefined,02.asc,F025.png,memory,0,47,1,0,timeout,15004,6
undefined,02.asc,F011.png,memory,0,34,4,0,timeout,15005,7
undefined,02.asc,F000.png,memory,0,45,5,0,timeout,15004,8
undefined,02.asc,F012.png,memory,0,40,5,0,timeout,15004,9
undefined,02.asc,F044.png,memory,0,42,7,0,timeout,15006,10
undefined,02.asc,S010.png,memory,0,53,1,0,timeout,15004,11
undefined,02.asc,F037.png,memory,0,39,8,0,timeout,15004,12
undefined,02.asc,S037.png,memory,0,26,7,0,timeout,15004,13
undefined,02.asc,S017.png,memory,0,46,4,0,timeout,15004,14
undefined,02.asc,F014.png,memory,0,42,3,0,timeout,15005,15
undefined,02.asc,F036.png,memory,0,41,7,0,timeout,15003,16
undefined,02.asc,F007.png,memory,0,37,2,0,timeout,15005,17
undefined,02.asc,F047.png,memory,0,20,4,0,timeout,15004,18
undefined,02.asc,F003.png,memory,0,34,7,0,timeout,15005,19
undefined,02.asc,S030.png,memory,0,34,4,0,timeout,15004,20
undefined,02.asc,S023.png,memory,0,37,5,0,timeout,15004,21
undefined,02.asc,F019.png,memory,0,33,3,0,timeout,15004,22
undefined,02.asc,F010.png,memory,0,14,3,0,timeout,15004,23
undefined,02.asc,F029.png,memory,0,40,9,0,timeout,15005,24
undefined,02.asc,F040.png,memory,0,21,2,0,timeout,15005,25
undefined,02.asc,F023.png,memory,0,50,5,0,timeout,15004,26
undefined,02.asc,S003.png,memory,0,32,7,0,timeout,15004,27
undefined,02.asc,S024.png,memory,0,29,4,0,timeout,15005,28
undefined,02.asc,S000.png,memory,0,45,7,0,timeout,15004,29
undefined,02.asc,F031.png,memory,0,30,5,0,timeout,15004,30
undefined,02.asc,F001.png,memory,0,32,9,0,timeout,15004,31
undefined,02.asc,S031.png,memory,0,30,8,0,timeout,15005,32
undefined,02.asc,S026.png,memory,0,29,4,0,timeout,15004,33
undefined,02.asc,S022.png,memory,0,42,7,0,timeout,15004,34
undefined,02.asc,F015.png,memory,0,37,6,0,timeout,15004,35
undefined,02.asc,F028.png,memory,0,43,4,0,timeout,15005,36
undefined,02.asc,S018.png,memory,0,44,7,0,timeout,15005,37
undefined,02.asc,S021.png,memory,0,31,4,0,timeout,15004,38
undefined,02.asc,F043.png,memory,0,34,6,0,timeout,15004,39
undefined,02.asc,S006.png,memory,0,42,6,0,timeout,15005,40
undefined,02.asc,S012.png,memory,0,44,3,0,timeout,15004,41
undefined,02.asc,S032.png,memory,0,50,2,0,timeout,15004,42
undefined,02.asc,S045.png,memory,0,49,2,0,timeout,15004,43
undefined,02.asc,F035.png,memory,0,32,6,0,timeout,15004,44
undefined,02.asc,F009.png,memory,0,15,4,0,timeout,15005,45
undefined,02.asc,F021.png,memory,0,31,5,0,timeout,15004,46
undefined,02.asc,F016.png,memory,0,46,2,0,timeout,15004,47
undefined,02.asc,S001.png,memory,0,42,3,0,timeout,15004,48
undefined,02.asc,S011.png,memory,0,41,6,0,timeout,15004,49
undefined,02.asc,F008.png,memory,0,42,3,0,timeout,15004,50
undefined,02.asc,S014.png,memory,0,43,5,0,timeout,15003,51
undefined,02.asc,S008.png,memory,0,40,7,0,timeout,15005,52
undefined,02.asc,F041.png,memory,0,12,3,0,timeout,15004,53
undefined,02.asc,S020.png,memory,0,40,7,0,timeout,15004,54
undefined,02.asc,S025.png,memory,0,39,12,0,timeout,15004,55
undefined,02.asc,S007.png,memory,0,35,4,0,timeout,15004,56
undefined,02.asc,F026.png,memory,0,44,5,0,timeout,15004,57
undefined,02.asc,F027.png,memory,0,48,3,0,timeout,15004,58
undefined,02.asc,S046.png,memory,0,44,7,0,timeout,15005,59
undefined,02.asc,S029.png,memory,0,32,12,0,timeout,15005,60
undefined,02.asc,S041.png,memory,0,36,13,0,timeout,15004,61
undefined,02.asc,S033.png,memory,0,41,9,0,timeout,15004,62
undefined,02.asc,S028.png,memory,0,37,12,0,timeout,15005,63
undefined,02.asc,F046.png,memory,0,43,8,0,timeout,15004,64
undefined,02.asc,S015.png,memory,0,39,10,0,timeout,15005,65
undefined,02.asc,F030.png,memory,0,41,7,0,timeout,15004,66
undefined,02.asc,F004.png,memory,0,43,3,0,timeout,15004,67
undefined,02.asc,S047.png,memory,0,40,8,0,timeout,15005,68
undefined,02.asc,F034.png,memory,0,49,3,0,timeout,15004,69
undefined,02.asc,F018.png,memory,0,50,4,0,timeout,15004,70
undefined,02.asc,F017.png,memory,0,43,7,0,timeout,15005,71
undefined,02.asc,F039.png,memory,0,51,3,0,timeout,15004,72
undefined,02.asc,S034.png,memory,0,45,5,0,timeout,15005,73
undefined,02.asc,S027.png,memory,0,50,5,0,timeout,15003,74
undefined,02.asc,S019.png,memory,0,36,9,0,timeout,15004,75
undefined,02.asc,F048.png,memory,0,47,3,0,timeout,15005,76
undefined,02.asc,F002.png,memory,0,48,4,0,timeout,15004,77
undefined,02.asc,S044.png,memory,0,45,6,0,timeout,15003,78
undefined,02.asc,S004.png,memory,0,48,2,0,timeout,15005,79
undefined,02.asc,F005.png,memory,0,46,5,0,timeout,15005,80
undefined,02.asc,S038.png,memory,0,44,4,0,timeout,15005,81
undefined,02.asc,F038.png,memory,0,50,4,0,timeout,15004,82
undefined,02.asc,S016.png,memory,0,31,7,0,timeout,15004,83
undefined,02.asc,S048.png,memory,0,42,7,0,timeout,15004,84
undefined,02.asc,F006.png,memory,0,36,8,0,timeout,15005,85
undefined,02.asc,F020.png,memory,0,43,6,0,timeout,15005,86
undefined,02.asc,F045.png,memory,0,47,5,0,timeout,15004,87
undefined,02.asc,F033.png,memory,0,41,6,0,timeout,15004,88
undefined,02.asc,S049.png,memory,0,36,12,0,timeout,15004,89
undefined,02.asc,F022.png,memory,0,26,6,0,timeout,15005,90
undefined,02.asc,F049.png,memory,0,41,6,0,timeout,15004,91
undefined,02.asc,F013.png,memory,0,43,3,0,timeout,15004,92
undefined,02.asc,F032.png,memory,0,37,5,0,timeout,15004,93
undefined,02.asc,S036.png,memory,0,43,7,0,timeout,15005,94
undefined,02.asc,S042.png,memory,0,45,9,0,timeout,15004,95
undefined,02.asc,S039.png,memory,0,49,6,0,timeout,15003,96
undefined,02.asc,F024.png,memory,0,40,5,0,timeout,15004,97
undefined,02.asc,S035.png,memory,0,44,5,0,timeout,15004,98
undefined,02.asc,S043.png,memory,0,38,5,0,timeout,15004,99
undefined,02.asc,S005.png,memory,0,47,5,0,timeout,15004,100
undefined,02.asc,S040.png,memory,0,38,6,0,timeout,15005,101
undefined,06.asc,P002.png,search,0,30,1,0,w,9893,0
undefined,06.asc,P001.png,search,0,20,4,0,;,9749,1
undefined,06.asc,S027.png,search,0,43,1,0,timeout,15004,2
undefined,06.asc,S006.png,search,0,49,2,0,timeout,15004,3
undefined,06.asc,F000.png,search,0,50,1,0,timeout,15004,4
undefined,06.asc,F037.png,search,0,47,1,0,timeout,15004,5
undefined,06.asc,F023.png,search,0,44,2,0,timeout,15004,6
undefined,06.asc,S019.png,search,0,52,1,0,timeout,15004,7
undefined,06.asc,F047.png,search,0,52,0,0,timeout,15003,8
undefined,06.asc,S018.png,search,0,51,1,0,timeout,15004,9
undefined,06.asc,S034.png,search,0,49,1,0,timeout,15004,10
undefined,06.asc,F026.png,search,0,53,0,0,timeout,15004,11
undefined,06.asc,S042.png,search,0,48,2,0,timeout,15006,12
undefined,06.asc,F017.png,search,0,46,1,0,timeout,15004,13
undefined,06.asc,S021.png,search,0,43,1,0,timeout,15004,14
undefined,06.asc,S012.png,search,0,53,0,0,timeout,15004,15
undefined,06.asc,F015.png,search,0,46,1,0,timeout,15005,16
undefined,06.asc,S011.png,search,0,48,2,0,timeout,15004,17
undefined,06.asc,F003.png,search,0,49,1,0,timeout,15005,18
undefined,06.asc,S015.png,search,0,46,1,0,timeout,15003,19
undefined,06.asc,S009.png,search,0,48,1,0,timeout,15005,20
undefined,06.asc,F016.png,search,0,26,0,0,w,8646,21
undefined,06.asc,F027.png,search,0,50,0,0,timeout,15004,22
undefined,06.asc,F012.png,search,0,55,0,0,timeout,15005,23
undefined,06.asc,S010.png,search,0,56,0,0,timeout,15004,24
undefined,06.asc,S000.png,search,0,15,0,0,w,4734,25
undefined,06.asc,F038.png,search,0,54,0,0,timeout,15004,26
undefined,06.asc,F028.png,search,0,53,1,0,timeout,15003,27
undefined,06.asc,S038.png,search,0,55,1,0,timeout,15004,28
undefined,06.asc,F022.png,search,0,49,0,0,timeout,15005,29
undefined,06.asc,S007.png,search,0,51,1,0,timeout,15004,30
undefined,06.asc,S044.png,search,0,10,0,0,;,3598,31
undefined,06.asc,F009.png,search,0,53,0,0,timeout,15003,32
undefined,06.asc,S026.png,search,0,50,1,0,timeout,15005,33
undefined,06.asc,S005.png,search,0,51,0,0,timeout,15005,34
undefined,06.asc,F048.png,search,0,48,1,0,timeout,15004,35
undefined,06.asc,S030.png,search,0,56,2,0,timeout,15003,36
undefined,06.asc,S023.png,search,0,45,1,0,timeout,15004,37
undefined,06.asc,S017.png,search,0,40,7,0,timeout,15005,38
undefined,06.asc,F005.png,search,0,50,1,0,timeout,15005,39
undefined,06.asc,F035.png,search,0,50,1,0,timeout,15004,40
undefined,06.asc,F002.png,search,0,53,1,0,timeout,15004,41
undefined,06.asc,S035.png,search,0,48,2,0,timeout,15004,42
undefined,06.asc,S020.png,search,0,48,0,0,timeout,15005,43
undefined,06.asc,F046.png,search,0,46,0,0,timeout,15006,44
undefined,06.asc,F032.png,search,0,52,1,0,timeout,15005,45
undefined,06.asc,F030.png,search,0,13,1,0,;,8918,46
undefined,06.asc,F029.png,search,0,46,1,0,timeout,15004,47
undefined,06.asc,F001.png,search,0,48,0,0,timeout,15004,48
undefined,06.asc,F021.png,search,0,14,0,0,;,5413,49
undefined,06.asc,S013.png,search,0,51,1,0,timeout,15005,50
undefined,06.asc,S041.png,search,0,47,1,0,timeout,15004,51
undefined,06.asc,S002.png,search,0,32,0,0,w,9453,52
undefined,06.asc,S036.png,search,0,6,0,0,w,2694,53
undefined,06.asc,F010.png,search,0,51,0,0,timeout,15005,54
undefined,06.asc,F014.png,search,0,50,2,0,timeout,15004,55
